"56;""housemaid"";""married"";""basic.4y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";182;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"36;""blue-collar"";""married"";""basic.6y"";""unknown"";""unknown"";""unknown"";""telephone"";""may"";""mon"";190;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"45;""admin."";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";351;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"31;""self-employed"";""married"";""university.degree"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";179;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"39;""housemaid"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";237;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"45;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";107;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"46;""self-employed"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";529;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"32;""blue-collar"";""married"";""basic.6y"";""unknown"";""yes"";""no"";""telephone"";""may"";""mon"";36;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"29;""management"";""single"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";122;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"41;""blue-collar"";""married"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";198;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"35;""admin."";""married"";""university.degree"";""no"";""yes"";""yes"";""telephone"";""may"";""mon"";67;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"29;""services"";""married"";""basic.9y"";""no"";""yes"";""no"";""telephone"";""may"";""mon"";238;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"34;""admin."";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";81;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"31;""blue-collar"";""single"";""basic.9y"";""no"";""no"";""no"";""telephone"";""may"";""mon"";496;3;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"36;""technician"";""single"";""professional.course"";""no"";""no"";""yes"";""telephone"";""may"";""mon"";114;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"41;""technician"";""married"";""university.degree"";""no"";""no"";""no"";""telephone"";""may"";""mon"";156;5;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"59;""retired"";""married"";""basic.9y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";211;2;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
"45;""unemployed"";""married"";""basic.6y"";""unknown"";""no"";""no"";""telephone"";""may"";""mon"";265;1;999;0;""nonexistent"";1.1;93.994;-36.4;4.858;5191;""no"""
